			School				Cost				Effect					% Chance to gain									AI value				Right Click Text				
Erdwesen	Erdwesen	5	x				25	20	20	20	0	2	2	3	4	0	16	14	16	16	12	0	0	12	50	50	100	150	"{Erdwesen}

Läßt Euch Erdwesen herbeirufen. Nach diesem Zauber dürfen keine Wesen anderer Elemente gerufen werden.
"	"{Erdwesen einfach}

Läßt Euch Erdwesen herbeirufen. Nach diesem Zauber dürfen keine Wesen anderer Elemente gerufen werden.
"	"{Erdwesen verbessert}

Läßt Euch Erdwesen herbeirufen. Nach diesem Zauber dürfen keine Wesen anderer Elemente gerufen werden.

Erschafft etwa anderthalb mal so viele Einheiten wie 'Erdwesen herbeirufen einfach'.
"	"{Erdwesen Meisterhaft}

Läßt Euch Erdwesen herbeirufen. Nach diesem Zauber dürfen keine Wesen anderer Elemente gerufen werden.

Erschafft etwa doppelt so viele Einheiten wie 'Erdwesen herbeirufen einfach'.
"	 COMBAT_SPELL
Wasserwesen	Wasserwesen	5		x			25	20	20	20	0	2	2	3	4	0	16	14	0	0	12	0	0	12	50	50	100	150	"{Wasserwesen}

Läßt Euch Wasserwesen herbeirufen. Nach diesem Zauber dürfen keine Wesen anderer Elemente gerufen werden.
"	"{Wasserwesen einfach}

Läßt Euch Wasserwesen herbeirufen. Nach diesem Zauber dürfen keine Wesen anderer Elemente gerufen werden.
"	"{Wasserwesen verbessert}

Läßt Euch Wasserwesen herbeirufen. Nach diesem Zauber dürfen keine Wesen anderer Elemente gerufen werden.

Erschafft etwa anderthalb mal so viele Einheiten wie 'Wasserwesen herbeirufen einfach'.
"	"{Wasserwesen Meisterhaft}

Läßt Euch Wasserwesen herbeirufen. Nach diesem Zauber dürfen keine Wesen anderer Elemente gerufen werden.

Erschafft etwa doppelt so viele Einheiten wie 'Wasserwesen herbeirufen einfach'.
"	 COMBAT_SPELL
Luftwesen	Luftwesen	5				x	25	20	20	20	0	2	2	3	4	0	0	14	0	16	0	0	0	12	50	50	100	150	"{Luftwesen}

Läßt Euch Luftwesen herbeirufen. Nach diesem Zauber dürfen keine Wesen anderer Elemente gerufen werden.
"	"{Luftwesen einfach}

Läßt Euch Luftwesen herbeirufen. Nach diesem Zauber dürfen keine Wesen anderer Elemente gerufen werden.
"	"{Luftwesen verbessert}

Läßt Euch Luftwesen herbeirufen. Nach diesem Zauber dürfen keine Wesen anderer Elemente gerufen werden.

Erschafft etwa anderthalb mal so viele Einheiten wie 'Luftwesen herbeirufen einfach'.
"	"{Luftwesen Meisterhaft}

Läßt Euch Luftwesen herbeirufen. Nach diesem Zauber dürfen keine Wesen anderer Elemente gerufen werden.

Erschafft etwa doppelt so viele Einheiten wie 'Luftwesen herbeirufen einfach'.
"	 COMBAT_SPELL
																																	
Creature Abilities																																	
																																	
Stone Gaze	Stone Gaze	3					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Poison	Poison	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Bind	Bind	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Disease	Disease	2					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Paralyze	Paralyze	4					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Age	Age	5					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Death Cloud	Death Cloud	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Thunderbolt	Thunderbolt	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Dispel Helpful Spells	Dispel Helpful Spells	0					0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1					
Death Stare	Death Stare	0					0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1					
Acid breath	Acid Breath	0					0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1					
